month,health_board,age_group,simd_quintile,presentations
2019-01,NHS Fife,36-45,4,29
2019-01,NHS Fife,36-45,5,22
2019-01,NHS Fife,46-55,1,85
2019-01,NHS Fife,46-55,2,65
2019-01,NHS Fife,46-55,3,51
2019-01,NHS Fife,46-55,4,31
2019-01,NHS Fife,46-55,5,14
2019-01,NHS Fife,56-65,1,45
2019-01,NHS Fife,56-65,2,49
2019-01,NHS Fife,56-65,3,26
2019-01,NHS Fife,56-65,4,16
2019-01,NHS Fife,56-65,5,13
2019-01,NHS Fife,66-75,1,21
2019-01,NHS Fife,66-75,2,19
2019-01,NHS Fife,66-75,3,14
2019-01,NHS Fife,66-75,4,9
2019-01,NHS Fife,66-75,5,10
2019-01,NHS Fife,76+,1,9
2019-01,NHS Fife,76+,2,7
2019-01,NHS Fife,76+,3,5
2019-01,NHS Fife,76+,4,3
2019-01,NHS Fife,76+,5,5
2019-01,NHS Forth Valley,0-17,1,34
2019-01,NHS Forth Valley,0-17,2,37
2019-01,NHS Forth Valley,0-17,3,23
2019-01,NHS Forth Valley,0-17,4,16
2019-01,NHS Forth Valley,0-17,5,7
2019-01,NHS Forth Valley,18-25,1,99
2019-01,NHS Forth Valley,18-25,2,66
2019-01,NHS Forth Valley,18-25,3,59
2019-01,NHS Forth Valley,18-25,4,47
2019-01,NHS Forth Valley,18-25,5,15
2019-01,NHS Forth Valley,26-35,1,93
2019-01,NHS Forth Valley,26-35,2,54
2019-01,NHS Forth Valley,26-35,3,45
2019-01,NHS Forth Valley,26-35,4,28
2019-01,NHS Forth Valley,26-35,5,13
2019-01,NHS Forth Valley,36-45,1,55
2019-01,NHS Forth Valley,36-45,2,37
2019-01,NHS Forth Valley,36-45,3,36
2019-01,NHS Forth Valley,36-45,4,16
2019-01,NHS Forth Valley,36-45,5,13
2019-01,NHS Forth Valley,46-55,1,61
2019-01,NHS Forth Valley,46-55,2,53
2019-01,NHS Forth Valley,46-55,3,37
2019-01,NHS Forth Valley,46-55,4,20
2019-01,NHS Forth Valley,46-55,5,18
2019-01,NHS Forth Valley,56-65,1,52
2019-01,NHS Forth Valley,56-65,2,32
2019-01,NHS Forth Valley,56-65,3,20
2019-01,NHS Forth Valley,56-65,4,9
2019-01,NHS Forth Valley,56-65,5,9
2019-01,NHS Forth Valley,66-75,1,28
2019-01,NHS Forth Valley,66-75,2,20
2019-01,NHS Forth Valley,66-75,3,10
2019-01,NHS Forth Valley,66-75,4,6
2019-01,NHS Forth Valley,66-75,5,7
2019-01,NHS Forth Valley,76+,1,9
2019-01,NHS Forth Valley,76+,2,2
2019-01,NHS Forth Valley,76+,3,13
2019-01,NHS Forth Valley,76+,4,2
2019-01,NHS Forth Valley,76+,5,3
2019-01,NHS Grampian,0-17,1,57
2019-01,NHS Grampian,0-17,2,43
2019-01,NHS Grampian,0-17,3,37
2019-01,NHS Grampian,0-17,4,18
2019-01,NHS Grampian,0-17,5,15
2019-01,NHS Grampian,18-25,1,180
2019-01,NHS Grampian,18-25,2,118
2019-01,NHS Grampian,18-25,3,91
2019-01,NHS Grampian,18-25,4,67
2019-01,NHS Grampian,18-25,5,32
2019-01,NHS Grampian,26-35,1,138
2019-01,NHS Grampian,26-35,2,95
2019-01,NHS Grampian,26-35,3,90
2019-01,NHS Grampian,26-35,4,49
2019-01,NHS Grampian,26-35,5,33
2019-01,NHS Grampian,36-45,1,123
2019-01,NHS Grampian,36-45,2,79
2019-01,NHS Grampian,36-45,3,52
2019-01,NHS Grampian,36-45,4,41
2019-01,NHS Grampian,36-45,5,30
2019-01,NHS Grampian,46-55,1,119
2019-01,NHS Grampian,46-55,2,69
2019-01,NHS Grampian,46-55,3,52
2019-01,NHS Grampian,46-55,4,43
2019-01,NHS Grampian,46-55,5,24
2019-01,NHS Grampian,56-65,1,64
2019-01,NHS Grampian,56-65,2,55
2019-01,NHS Grampian,56-65,3,45
2019-01,NHS Grampian,56-65,4,28
2019-01,NHS Grampian,56-65,5,17
2019-01,NHS Grampian,66-75,1,41
2019-01,NHS Grampian,66-75,2,27
2019-01,NHS Grampian,66-75,3,22
2019-01,NHS Grampian,66-75,4,16
2019-01,NHS Grampian,66-75,5,14
2019-01,NHS Grampian,76+,1,18
2019-01,NHS Grampian,76+,2,14
2019-01,NHS Grampian,76+,3,10
2019-01,NHS Grampian,76+,4,4
2019-01,NHS Grampian,76+,5,6
2019-01,NHS Greater Glasgow and Clyde,0-17,1,115
2019-01,NHS Greater Glasgow and Clyde,0-17,2,109
2019-01,NHS Greater Glasgow and Clyde,0-17,3,69
2019-01,NHS Greater Glasgow and Clyde,0-17,4,37
2019-01,NHS Greater Glasgow and Clyde,0-17,5,27
2019-01,NHS Greater Glasgow and Clyde,18-25,1,370
2019-01,NHS Greater Glasgow and Clyde,18-25,2,235
2019-01,NHS Greater Glasgow and Clyde,18-25,3,197
2019-01,NHS Greater Glasgow and Clyde,18-25,4,139
2019-01,NHS Greater Glasgow and Clyde,18-25,5,91
2019-01,NHS Greater Glasgow and Clyde,26-35,1,286
2019-01,NHS Greater Glasgow and Clyde,26-35,2,212
2019-01,NHS Greater Glasgow and Clyde,26-35,3,148
2019-01,NHS Greater Glasgow and Clyde,26-35,4,132
2019-01,NHS Greater Glasgow and Clyde,26-35,5,67
2019-01,NHS Greater Glasgow and Clyde,36-45,1,205
2019-01,NHS Greater Glasgow and Clyde,36-45,2,156
2019-01,NHS Greater Glasgow and Clyde,36-45,3,118
2019-01,NHS Greater Glasgow and Clyde,36-45,4,67
2019-01,NHS Greater Glasgow and Clyde,36-45,5,48
2019-01,NHS Greater Glasgow and Clyde,46-55,1,195
2019-01,NHS Greater Glasgow and Clyde,46-55,2,156
2019-01,NHS Greater Glasgow and Clyde,46-55,3,132
2019-01,NHS Greater Glasgow and Clyde,46-55,4,79
2019-01,NHS Greater Glasgow and Clyde,46-55,5,56
2019-01,NHS Greater Glasgow and Clyde,56-65,1,127
2019-01,NHS Greater Glasgow and Clyde,56-65,2,104
2019-01,NHS Greater Glasgow and Clyde,56-65,3,85
2019-01,NHS Greater Glasgow and Clyde,56-65,4,46
2019-01,NHS Greater Glasgow and Clyde,56-65,5,26
2019-01,NHS Greater Glasgow and Clyde,66-75,1,72
2019-01,NHS Greater Glasgow and Clyde,66-75,2,45
2019-01,NHS Greater Glasgow and Clyde,66-75,3,36
2019-01,NHS Greater Glasgow and Clyde,66-75,4,30
2019-01,NHS Greater Glasgow and Clyde,66-75,5,18
2019-01,NHS Greater Glasgow and Clyde,76+,1,32
2019-01,NHS Greater Glasgow and Clyde,76+,2,12
2019-01,NHS Greater Glasgow and Clyde,76+,3,17
2019-01,NHS Greater Glasgow and Clyde,76+,4,15
2019-01,NHS Greater Glasgow and Clyde,76+,5,8
2019-01,NHS Highland,0-17,1,43
2019-01,NHS Highland,0-17,2,27
2019-01,NHS Highland,0-17,3,41
2019-01,NHS Highland,0-17,4,15
2019-01,NHS Highland,0-17,5,5
2019-01,NHS Highland,18-25,1,123
2019-01,NHS Highland,18-25,2,87
2019-01,NHS Highland,18-25,3,65
2019-01,NHS Highland,18-25,4,39
2019-01,NHS Highland,18-25,5,33
2019-01,NHS Highland,26-35,1,113
2019-01,NHS Highland,26-35,2,85
2019-01,NHS Highland,26-35,3,65
2019-01,NHS Highland,26-35,4,27
2019-01,NHS Highland,26-35,5,24
2019-01,NHS Highland,36-45,1,63
2019-01,NHS Highland,36-45,2,52
2019-01,NHS Highland,36-45,3,50
2019-01,NHS Highland,36-45,4,34
2019-01,NHS Highland,36-45,5,11
2019-01,NHS Highland,46-55,1,73
2019-01,NHS Highland,46-55,2,62
2019-01,NHS Highland,46-55,3,46
2019-01,NHS Highland,46-55,4,28
2019-01,NHS Highland,46-55,5,13
2019-01,NHS Highland,56-65,1,51
2019-01,NHS Highland,56-65,2,35
2019-01,NHS Highland,56-65,3,29
2019-01,NHS Highland,56-65,4,19
2019-01,NHS Highland,56-65,5,10
2019-01,NHS Highland,66-75,1,18
2019-01,NHS Highland,66-75,2,19
2019-01,NHS Highland,66-75,3,18
2019-01,NHS Highland,66-75,4,9
2019-01,NHS Highland,66-75,5,6
2019-01,NHS Highland,76+,1,7
2019-01,NHS Highland,76+,2,9
2019-01,NHS Highland,76+,3,8
2019-01,NHS Highland,76+,4,3
2019-01,NHS Highland,76+,5,1
2019-01,NHS Lanarkshire,0-17,1,69
2019-01,NHS Lanarkshire,0-17,2,52
2019-01,NHS Lanarkshire,0-17,3,39
2019-01,NHS Lanarkshire,0-17,4,30
2019-01,NHS Lanarkshire,0-17,5,10
2019-01,NHS Lanarkshire,18-25,1,211
2019-01,NHS Lanarkshire,18-25,2,150
2019-01,NHS Lanarkshire,18-25,3,112
2019-01,NHS Lanarkshire,18-25,4,77
2019-01,NHS Lanarkshire,18-25,5,47
2019-01,NHS Lanarkshire,26-35,1,168
2019-01,NHS Lanarkshire,26-35,2,123
2019-01,NHS Lanarkshire,26-35,3,99
2019-01,NHS Lanarkshire,26-35,4,70
2019-01,NHS Lanarkshire,26-35,5,45
2019-01,NHS Lanarkshire,36-45,1,133
2019-01,NHS Lanarkshire,36-45,2,87
2019-01,NHS Lanarkshire,36-45,3,80
2019-01,NHS Lanarkshire,36-45,4,47
2019-01,NHS Lanarkshire,36-45,5,27
2019-01,NHS Lanarkshire,46-55,1,111
2019-01,NHS Lanarkshire,46-55,2,102
2019-01,NHS Lanarkshire,46-55,3,68
2019-01,NHS Lanarkshire,46-55,4,52
2019-01,NHS Lanarkshire,46-55,5,32
2019-01,NHS Lanarkshire,56-65,1,101
2019-01,NHS Lanarkshire,56-65,2,63
2019-01,NHS Lanarkshire,56-65,3,56
2019-01,NHS Lanarkshire,56-65,4,24
2019-01,NHS Lanarkshire,56-65,5,18
2019-01,NHS Lanarkshire,66-75,1,32
2019-01,NHS Lanarkshire,66-75,2,25
2019-01,NHS Lanarkshire,66-75,3,28
2019-01,NHS Lanarkshire,66-75,4,13
2019-01,NHS Lanarkshire,66-75,5,13
2019-01,NHS Lanarkshire,76+,1,26
2019-01,NHS Lanarkshire,76+,2,10
2019-01,NHS Lanarkshire,76+,3,6
2019-01,NHS Lanarkshire,76+,4,5
2019-01,NHS Lanarkshire,76+,5,2
2019-01,NHS Lothian,0-17,1,94
2019-01,NHS Lothian,0-17,2,73
2019-01,NHS Lothian,0-17,3,63
2019-01,NHS Lothian,0-17,4,38
2019-01,NHS Lothian,0-17,5,21
2019-01,NHS Lothian,18-25,1,279
2019-01,NHS Lothian,18-25,2,203
2019-01,NHS Lothian,18-25,3,165
2019-01,NHS Lothian,18-25,4,91
2019-01,NHS Lothian,18-25,5,75
2019-01,NHS Lothian,26-35,1,234
2019-01,NHS Lothian,26-35,2,162
2019-01,NHS Lothian,26-35,3,148
2019-01,NHS Lothian,26-35,4,79
2019-01,NHS Lothian,26-35,5,53
2019-01,NHS Lothian,36-45,1,139
2019-01,NHS Lothian,36-45,2,123
2019-01,NHS Lothian,36-45,3,86
2019-01,NHS Lothian,36-45,4,59
2019-01,NHS Lothian,36-45,5,43
2019-01,NHS Lothian,46-55,1,171
2019-01,NHS Lothian,46-55,2,93
2019-01,NHS Lothian,46-55,3,94
2019-01,NHS Lothian,46-55,4,54
2019-01,NHS Lothian,46-55,5,40
2019-01,NHS Lothian,56-65,1,101
2019-01,NHS Lothian,56-65,2,67
2019-01,NHS Lothian,56-65,3,58
2019-01,NHS Lothian,56-65,4,46
2019-01,NHS Lothian,56-65,5,21
2019-01,NHS Lothian,66-75,1,56
2019-01,NHS Lothian,66-75,2,33
2019-01,NHS Lothian,66-75,3,21
2019-01,NHS Lothian,66-75,4,24
2019-01,NHS Lothian,66-75,5,13
2019-01,NHS Lothian,76+,1,20
2019-01,NHS Lothian,76+,2,10
2019-01,NHS Lothian,76+,3,15
2019-01,NHS Lothian,76+,4,9
2019-01,NHS Lothian,76+,5,2
2019-01,NHS Orkney,0-17,1,12
2019-01,NHS Orkney,0-17,2,5
2019-01,NHS Orkney,0-17,3,9
2019-01,NHS Orkney,0-17,5,2
2019-01,NHS Orkney,18-25,1,28
2019-01,NHS Orkney,18-25,2,17
2019-01,NHS Orkney,18-25,3,11
2019-01,NHS Orkney,18-25,4,8
2019-01,NHS Orkney,18-25,5,3
2019-01,NHS Orkney,26-35,1,23
2019-01,NHS Orkney,26-35,2,12
2019-01,NHS Orkney,26-35,3,13
2019-01,NHS Orkney,26-35,4,9
2019-01,NHS Orkney,26-35,5,3
2019-01,NHS Orkney,36-45,1,13
2019-01,NHS Orkney,36-45,2,9
2019-01,NHS Orkney,36-45,3,6
2019-01,NHS Orkney,36-45,4,7
2019-01,NHS Orkney,36-45,5,1
2019-01,NHS Orkney,46-55,1,11
2019-01,NHS Orkney,46-55,2,7
2019-01,NHS Orkney,46-55,3,5
2019-01,NHS Orkney,46-55,4,7
2019-01,NHS Orkney,46-55,5,1
2019-01,NHS Orkney,56-65,1,9
2019-01,NHS Orkney,56-65,2,9
2019-01,NHS Orkney,56-65,3,5
2019-01,NHS Orkney,56-65,5,6
2019-01,NHS Orkney,66-75,1,5
2019-01,NHS Orkney,66-75,2,6
2019-01,NHS Orkney,66-75,3,3
2019-01,NHS Orkney,66-75,4,2
2019-01,NHS Orkney,66-75,5,2
2019-01,NHS Orkney,76+,3,1
2019-01,NHS Shetland,0-17,1,9
2019-01,NHS Shetland,0-17,2,5
2019-01,NHS Shetland,0-17,3,6
2019-01,NHS Shetland,0-17,4,3
2019-01,NHS Shetland,0-17,5,1
2019-01,NHS Shetland,18-25,1,32
2019-01,NHS Shetland,18-25,2,12
2019-01,NHS Shetland,18-25,3,9
2019-01,NHS Shetland,18-25,4,7
2019-01,NHS Shetland,18-25,5,3
2019-01,NHS Shetland,26-35,1,10
2019-01,NHS Shetland,26-35,2,12
2019-01,NHS Shetland,26-35,3,14
2019-01,NHS Shetland,26-35,4,4
2019-01,NHS Shetland,26-35,5,5
2019-01,NHS Shetland,36-45,1,14
2019-01,NHS Shetland,36-45,2,15
2019-01,NHS Shetland,36-45,3,4
2019-01,NHS Shetland,36-45,4,3
2019-01,NHS Shetland,36-45,5,4
2019-01,NHS Shetland,46-55,1,13
2019-01,NHS Shetland,46-55,2,8
2019-01,NHS Shetland,46-55,3,13
2019-01,NHS Shetland,46-55,4,6
2019-01,NHS Shetland,46-55,5,4
2019-01,NHS Shetland,56-65,1,12
2019-01,NHS Shetland,56-65,2,8
2019-01,NHS Shetland,56-65,3,5
2019-01,NHS Shetland,56-65,4,2
2019-01,NHS Shetland,56-65,5,2
2019-01,NHS Shetland,66-75,1,7
2019-01,NHS Shetland,66-75,3,3
2019-01,NHS Shetland,66-75,4,1
2019-01,NHS Shetland,66-75,5,2
2019-01,NHS Shetland,76+,1,4
2019-01,NHS Shetland,76+,4,1
2019-01,NHS Tayside,0-17,1,54
2019-01,NHS Tayside,0-17,2,35
2019-01,NHS Tayside,0-17,3,38
2019-01,NHS Tayside,0-17,4,20
2019-01,NHS Tayside,0-17,5,13
2019-01,NHS Tayside,18-25,1,176
2019-01,NHS Tayside,18-25,2,134
2019-01,NHS Tayside,18-25,3,92
2019-01,NHS Tayside,18-25,4,49
2019-01,NHS Tayside,18-25,5,38
2019-01,NHS Tayside,26-35,1,138
2019-01,NHS Tayside,26-35,2,104
2019-01,NHS Tayside,26-35,3,78
2019-01,NHS Tayside,26-35,4,43
2019-01,NHS Tayside,26-35,5,28
2019-01,NHS Tayside,36-45,1,111
2019-01,NHS Tayside,36-45,2,80
2019-01,NHS Tayside,36-45,3,59
2019-01,NHS Tayside,36-45,4,35
2019-01,NHS Tayside,36-45,5,25
2019-01,NHS Tayside,46-55,1,101
2019-01,NHS Tayside,46-55,2,79
2019-01,NHS Tayside,46-55,3,52
2019-01,NHS Tayside,46-55,4,35
2019-01,NHS Tayside,46-55,5,23
2019-01,NHS Tayside,56-65,1,62
2019-01,NHS Tayside,56-65,2,56
2019-01,NHS Tayside,56-65,3,40
2019-01,NHS Tayside,56-65,4,26
2019-01,NHS Tayside,56-65,5,11
2019-01,NHS Tayside,66-75,1,49
2019-01,NHS Tayside,66-75,2,26
2019-01,NHS Tayside,66-75,3,24
2019-01,NHS Tayside,66-75,4,8
2019-01,NHS Tayside,66-75,5,8
2019-01,NHS Tayside,76+,1,15
2019-01,NHS Tayside,76+,2,14
2019-01,NHS Tayside,76+,3,6
2019-01,NHS Tayside,76+,4,1
2019-01,NHS Western Isles,0-17,1,9
2019-01,NHS Western Isles,0-17,2,5
2019-01,NHS Western Isles,0-17,3,6
2019-01,NHS Western Isles,0-17,4,3
2019-01,NHS Western Isles,0-17,5,1
2019-01,NHS Western Isles,18-25,1,27
2019-01,NHS Western Isles,18-25,2,19
2019-01,NHS Western Isles,18-25,3,14
2019-01,NHS Western Isles,18-25,4,9
2019-01,NHS Western Isles,18-25,5,10
2019-01,NHS Western Isles,26-35,1,23
2019-01,NHS Western Isles,26-35,2,22
2019-01,NHS Western Isles,26-35,3,19
2019-01,NHS Western Isles,26-35,4,7
2019-01,NHS Western Isles,26-35,5,4
2019-01,NHS Western Isles,36-45,1,14
2019-01,NHS Western Isles,36-45,2,9
2019-01,NHS Western Isles,36-45,3,8
2019-01,NHS Western Isles,36-45,4,6
2019-01,NHS Western Isles,36-45,5,4
2019-01,NHS Western Isles,46-55,1,18
2019-01,NHS Western Isles,46-55,2,10
2019-01,NHS Western Isles,46-55,3,6
2019-01,NHS Western Isles,46-55,4,7
2019-01,NHS Western Isles,46-55,5,3
2019-01,NHS Western Isles,56-65,1,9
2019-01,NHS Western Isles,56-65,2,6
2019-01,NHS Western Isles,56-65,3,3
2019-01,NHS Western Isles,56-65,4,2
2019-01,NHS Western Isles,56-65,5,2
2019-01,NHS Western Isles,66-75,1,3
2019-01,NHS Western Isles,66-75,2,1
2019-01,NHS Western Isles,66-75,3,2
2019-01,NHS Western Isles,66-75,4,4
2019-01,NHS Western Isles,66-75,5,1
2019-01,NHS Western Isles,76+,1,2
2019-01,NHS Western Isles,76+,3,1
2019-01,NHS Western Isles,76+,4,1
2019-02,NHS Ayrshire and Arran,0-17,1,39
2019-02,NHS Ayrshire and Arran,0-17,2,21
2019-02,NHS Ayrshire and Arran,0-17,3,27
2019-02,NHS Ayrshire and Arran,0-17,4,13
2019-02,NHS Ayrshire and Arran,0-17,5,5
2019-02,NHS Ayrshire and Arran,18-25,1,119
2019-02,NHS Ayrshire and Arran,18-25,2,72
2019-02,NHS Ayrshire and Arran,18-25,3,46
2019-02,NHS Ayrshire and Arran,18-25,4,27
2019-02,NHS Ayrshire and Arran,18-25,5,18
2019-02,NHS Ayrshire and Arran,26-35,1,78
2019-02,NHS Ayrshire and Arran,26-35,2,65
2019-02,NHS Ayrshire and Arran,26-35,3,54
2019-02,NHS Ayrshire and Arran,26-35,4,29
2019-02,NHS Ayrshire and Arran,26-35,5,23
2019-02,NHS Ayrshire and Arran,36-45,1,67
2019-02,NHS Ayrshire and Arran,36-45,2,36
2019-02,NHS Ayrshire and Arran,36-45,3,28
2019-02,NHS Ayrshire and Arran,36-45,4,19
2019-02,NHS Ayrshire and Arran,36-45,5,15
2019-02,NHS Ayrshire and Arran,46-55,1,68
2019-02,NHS Ayrshire and Arran,46-55,2,54
2019-02,NHS Ayrshire and Arran,46-55,3,42
2019-02,NHS Ayrshire and Arran,46-55,4,22
2019-02,NHS Ayrshire and Arran,46-55,5,12
2019-02,NHS Ayrshire and Arran,56-65,1,39
2019-02,NHS Ayrshire and Arran,56-65,2,32
2019-02,NHS Ayrshire and Arran,56-65,3,21
2019-02,NHS Ayrshire and Arran,56-65,4,23
2019-02,NHS Ayrshire and Arran,56-65,5,10
2019-02,NHS Ayrshire and Arran,66-75,1,21
2019-02,NHS Ayrshire and Arran,66-75,2,14
2019-02,NHS Ayrshire and Arran,66-75,3,12
2019-02,NHS Ayrshire and Arran,66-75,4,8
2019-02,NHS Ayrshire and Arran,66-75,5,6
2019-02,NHS Ayrshire and Arran,76+,1,9
2019-02,NHS Ayrshire and Arran,76+,2,5
2019-02,NHS Ayrshire and Arran,76+,3,7
2019-02,NHS Ayrshire and Arran,76+,4,4
2019-02,NHS Ayrshire and Arran,76+,5,4
2019-02,NHS Borders,0-17,1,16
2019-02,NHS Borders,0-17,2,7
2019-02,NHS Borders,0-17,3,7
2019-02,NHS Borders,0-17,4,5
2019-02,NHS Borders,0-17,5,2
2019-02,NHS Borders,18-25,1,46
2019-02,NHS Borders,18-25,2,32
2019-02,NHS Borders,18-25,3,19
2019-02,NHS Borders,18-25,4,18
2019-02,NHS Borders,18-25,5,10
2019-02,NHS Borders,26-35,1,41
2019-02,NHS Borders,26-35,2,27
2019-02,NHS Borders,26-35,3,15
2019-02,NHS Borders,26-35,4,11
2019-02,NHS Borders,26-35,5,9
2019-02,NHS Borders,36-45,1,24
2019-02,NHS Borders,36-45,2,17
2019-02,NHS Borders,36-45,3,17
2019-02,NHS Borders,36-45,4,6
2019-02,NHS Borders,36-45,5,4
2019-02,NHS Borders,46-55,1,26
2019-02,NHS Borders,46-55,2,8
2019-02,NHS Borders,46-55,3,12
2019-02,NHS Borders,46-55,4,11
2019-02,NHS Borders,46-55,5,8
2019-02,NHS Borders,56-65,1,18
